# 规划纵一路 面试转写

音频文件：规划纵一路.m4a
转录模型：whisper.cpp small

说明：这是机器原始转写，未逐句人工改写。录音中的 RAG、Agent、召回、数据集、UI 自动化、XPath、AGENTS.md、Skill、MCP、DeepEval / Ragas 及部分支付渠道名称存在明显识别误差；请以《伊智面试题整理》中按上下文校正后的术语为准。

[00:00:00 - 00:00:29] 好 现在就自我介绍 对 面试官你好 我叫梁天泰是
[00:00:29 - 00:00:34] 来面试这个女人技术工程师的这么一个岗位
[00:00:34 - 00:00:42] 然后我上一家公司呢 是参与 是负责这个生活服务 生活平台这么一个项目
[00:00:42 - 00:00:48] 然后谈那个 这个项目这个项目的话 系统就是一个欧欧的一个模式
[00:00:48 - 00:00:53] 然后包含了有多个端口商用户端服务端管理后台的这么这么一个
[00:00:53 - 00:01:01] 这些端口然后这些也包含了义务商的就设计一些下单啊转单啊支付啊
[00:01:01 - 00:01:09] 啊结算推款这种啊分用啊结算分用的这些啊这些模块
[00:01:09 - 00:01:15] 然后这个这个项目的特点我认为就是一个多角色就像有很多像
[00:01:15 - 00:01:23] 啊用户服务人员还有一个门电端管理后台管理员这么这些一个用户角色
[00:01:23 - 00:01:29] 多角色还有电弹状态有很多多多多个啊电弹状态这么一些特点
[00:01:29 - 00:01:37] 所以我测试的重点主要就是关注那种多角色多状态这些组合的去去测试这种状态流转
[00:01:37 - 00:01:43] 这些一个情况嗯也会保持这么一个多个端口的数字仪的一致性
[00:01:43 - 00:01:51] 在这个项目中我主要负责就是去啊水球评证然后去设计测试点
[00:01:51 - 00:01:57] 然后输出设施用力然后再去执行测试用力的还有一些一些啊
[00:01:57 - 00:02:05] 啊脚本的一些编写吧嗯我设计测试用力的一些输入呢就是啊
[00:02:05 - 00:02:12] 要考虑这种正常的一级场景还有一场的一些场景啊像那种重复提交啊
[00:02:12 - 00:02:22] 就进了一场还有一些分销分销那种融金比例的为零这种一些啊编界词这么这些一个情这么一个情况
[00:02:22 - 00:02:32] 嗯啊这种我在设计设计测试用力的时候也不仅不只是要关注啊表面的一些
[00:02:32 - 00:02:42] 要显示情况还要去结合关系后台保持那种多端的多个端口的那种状态然后订单状态的一个一致性
[00:02:42 - 00:02:49] 也会结合结合去查一下数据数据库的这么是否正确落酷订单状态
[00:02:49 - 00:02:58] 嗯自动化方面的话我现在有之前在工作中也会去写过一个结合自动化的一个
[00:02:58 - 00:03:12] 啊脚呃这个自动化一个脚本吧嗯他这个脚本呢主要覆盖了从啊选选一个服务人员到一个啊然后去接受服务
[00:03:12 - 00:03:18] 然后再去下单这么然后再这样一个接口的一个主流程啊
[00:03:18 - 00:03:30] 啊用的技术上主要是有不用拍贴啊还有一些贴啊request 这种请求的这些一个啊酷吧拍成酷还有一个
[00:03:30 - 00:03:42] 没有Acer这种这种一个拍成的一些酷嗯除此之外我最近啊最近做的就是做过一个啊sars的一个自负业务的一个意外之中话有一个项目
[00:03:42 - 00:03:51] 嗯这个项目呢我主要用的技术是有这种啊pattice pay ride啊这个一个酷还有一些
[00:03:51 - 00:03:58] 嗯也是用压庙去做数据去动然后用S数据啊去用测试报告
[00:03:58 - 00:04:09] 输出测试报告这么一个啊测试脚本的一个编写然后覆盖了像啊他覆盖了有多个自负的自负方式像啊screen
[00:04:09 - 00:04:15] 啊啊理这种这种的一个支付方式有多种还有一个多比种的这种一个支付
[00:04:15 - 00:04:23] 嗯啊出此之外呢嗯在ai 出了这种传统的一些车子吧
[00:04:23 - 00:04:31] 然后还有一些ai 测试的一些实践像我用用啊codex 捷入gbt模型去
[00:04:31 - 00:04:40] 生成测试用力啊这个测试用力是怎么生成的呢就是我是参考了国外的一kabase的他的一个
[00:04:40 - 00:04:50] 呃支持库的他们他一个解构的一个思路我是先制定好我自己的一个测试用力生成的一个规则
[00:04:50 - 00:04:58] 还有一物规则啊这么一个目录然后再去让codex去根据这个目录去查找我
[00:04:58 - 00:05:06] 还有另外一个目录是一物规则的一个目录去制定去写好又去查找一物规则的一物规则然后根据
[00:05:06 - 00:05:13] 根据你使用用力的一个规则啊思路再去生成测试用力
[00:05:13 - 00:05:25] 嗯现在的话因为这家公司已经离职了所以当时的成果就是有啊六秒能生成二十五条这么一个速度吧
[00:05:25 - 00:05:37] 啊如果但是使用的话还是比较低之大概只能用个7 7 8条可能好的话就会有一个10毫这么一这么一个的样子
[00:05:37 - 00:05:46] 除了除了这种啊啊生成测试用力还有一个ai方面的时间就是我用这个最近的一个
[00:05:46 - 00:05:58] ai进化了一个脚本的生成啊当从当时的两天就是生呃单位的话是以因为从无心的话就是吃负嘛
[00:05:58 - 00:06:07] 然后当时两天写完一个支付方式这么一个次数用力啊有方面然后然后再呃先
[00:06:08 - 00:06:18] 稳就基础流程跑通了之后再去用ai去用codes我先结束我的动棉把动棉数啊出生力截图
[00:06:18 - 00:06:28] 然后告诉他让他参照我之前怎么写出生力然后不要维持项目交购保持不变啊在这个技术上再去让他自己去写自己去验证
[00:06:29 - 00:06:39] 呃用的用到他我看着他命行的话是用那个codes里面有一个谷歌插件也是web的然后他会去查找动棉数
[00:06:39 - 00:06:47] 关照他是否能正确的定位到点击的到嗯他自己的玩的他修复的数字还是挺快的
[00:06:47 - 00:06:57] 嗯从我当时自己手写的话要两天好现在的话他可以五分钟就写完一条啊测试用UI的这种话的测试用力
[00:06:58 - 00:07:08] 嗯对我也了解到公司的业务是做一个每夜然后照片港外照片谢谢也是有对应的一个要需要熟练掌握啊
[00:07:08 - 00:07:14] 一来这种话排排外这种一个框架然后我也也
[00:07:14 - 00:07:21] 每夜的话是和我上一家公司也是有这种门店啊到店服务这种一个情况
[00:07:22 - 00:07:31] 比较符合所以我觉得我认从业务上面有匹配然后我自己有这种UI这种话上面的一些时间
[00:07:31 - 00:07:40] 也希望可以去继续去神话啊在也能帮助帮助到公司的一个同事也能出现我自己个人一个发展
[00:07:40 - 00:07:43] 嗯我的自我介绍就是
[00:07:43 - 00:07:50] 嗯刚才有讲到有了解我们有去了解过我们公司背景的
[00:07:51 - 00:08:00] 那你有没有了解到就是我们可能是最近都是在推一些呃被爱的一些智能体对像小我们说智能体那种
[00:08:00 - 00:08:09] 在官网上有我查看到那比如说呃就拿一个最简单的一个呃比如说客服智能体对吧
[00:08:09 - 00:08:14] 可能就是整对就是我每一假设是一个美容院的客服智能体
[00:08:15 - 00:08:22] 他可能就会回答一些关于这个美容院的一些品牌的信息啊或者一些收获的问题啊或者说还有一些
[00:08:22 - 00:08:25] 咨询行问的之类的这种诉求啊
[00:08:25 - 00:08:33] 或者说怎么样的就是按照他们客服平时日常工作的流程做的一个定色化的智能体
[00:08:33 - 00:08:38] 假设是这么一个智能体要你来车的话你会怎么样去车的
[00:08:40 - 00:08:49] 首先的话去把从事的话就啊客服的去角度去输入像怎么询问一些正常的客服的一些数用户的一些数语
[00:08:49 - 00:08:58] 像我会拿到客服的一些他有一个专门的一个数语吗就做一个对比然后完了自己的话再去
[00:08:58 - 00:09:05] 再去对应的一个输入到他一个智能体查看他输出是否和我那种客服
[00:09:06 - 00:09:12] 是否是一致的或者像一些刁转的一些考虑到一些其他一些场景嘛
[00:09:12 - 00:09:23] 嗯像一种异常那种可能拥护比较比较生气这么一个情况然后看智能体怎么去怎么去讨好讨好拥护这么一个
[00:09:23 - 00:09:26] 这么一个情况就从输入到输出
[00:09:26 - 00:09:29] 进行这么一个测试
[00:09:33 - 00:09:37] 嗯我我先想一想
[00:09:37 - 00:09:48] 还有就是回查看这个智能体
[00:09:48 - 00:09:59] 是否有调用调用到对应的一些资料正确的调用然后他那些参数啊是否是符合符合需求的
[00:10:00 - 00:10:05] 像这么温和保温和多这种一些智能体的一些参数
[00:10:05 - 00:10:10] 哦这个智能体可能会调用正确调用话
[00:10:10 - 00:10:16] 嗯还是会以那种客服的数语去进行一个对应的验证
[00:10:16 - 00:10:23] 嗯看的是否有调用到对应的一些正确的一些资料吧
[00:10:25 - 00:10:33] 呃按理的根据你回答的内容来看就是还是处于一个人工问答的一个接通就假设
[00:10:33 - 00:10:45] 呃假设我需要造一个500可能是500条左右的一个平测级对吧一个问答
[00:10:45 - 00:10:50] 那这500条你是怎么生存的或者是怎么夺来的
[00:10:51 - 00:10:59] 呃第一个问题第二个问题就是500条之后你怎么去呃完成这500条的问答
[00:10:59 - 00:11:07] 然后记录每一条的答案然后第三个问题是记录的答案跟理议器的答案去怎么去做对比
[00:11:07 - 00:11:11] 怎么去判定哪个答案是OK的哪个答案是不OK的
[00:11:11 - 00:11:20] 嗯就有三问题嗯第一个怎么样构造的话会找一些晚上的一些数据期
[00:11:21 - 00:11:27] 像有阿里这样的一些很传统很庞大的一些数据期的一些库吧
[00:11:27 - 00:11:32] 可不可以把它拉下来这样子作为一个客服的一些
[00:11:32 - 00:11:43] 啊数据的一些构造或者又或者直接去ai去直接去申承对应的一些数据期
[00:11:44 - 00:11:54] 啊根据用提示词生成这种500条其实也不是也不是啊用生成拐票这种这么一个数据期
[00:11:54 - 00:11:58] 然后怎么验证的话
[00:11:58 - 00:12:00] 嗯
[00:12:00 - 00:12:10] 会用用这种脚本的方式去批量的去
[00:12:11 - 00:12:17] 啊批上去输入然后再去做一个评分的一些机制吧
[00:12:17 - 00:12:22] 呃是否有用评分的一些规则
[00:12:22 - 00:12:28] 大批量这种输入输出再或许他一些测试结果
[00:12:28 - 00:12:36] 输入输出结果然后和和和几和几准测试是否和几准的那些
[00:12:37 - 00:12:43] 啊正确的一些结果作为一个对比或许一些总的一个评分的一些
[00:12:43 - 00:12:48] 啊总得分跟实际是否有偏差这样子
[00:12:48 - 00:12:52] 那第三个问题可以再复述一遍吗
[00:12:52 - 00:13:02] 呃就是你怎么怎么是刊断你的预期的答案跟他真实反悔的答案
[00:13:03 - 00:13:09] 对比然后得出哪个每次答案是ok的每次是不ok
[00:13:09 - 00:13:13] 嗯得出哪些是ok的
[00:13:13 - 00:13:20] 对就比如说500条可能里面有十来条的答案是不符合我们预期的对吧
[00:13:20 - 00:13:25] 那你一条一条对比然后你要怎么去对比然后去拿到这
[00:13:25 - 00:13:29] 其中不符合预期的答案
[00:13:31 - 00:13:35] 嗯我要的我要的不是说能够一条一条去看
[00:13:35 - 00:13:43] 嗯我会的话就是拿这500条
[00:13:43 - 00:13:47] 嗯先拿一条我自己正最合理的一些答案
[00:13:47 - 00:13:49] 然后再用
[00:13:49 - 00:13:59] 再用编造一个智能体去辅助我他进行的一个多轮的一个这个智能体是啊先告诉他是
[00:14:00 - 00:14:03] 编写好正确的提示词像怎么你是一个
[00:14:03 - 00:14:14] 嗯对比数据级的一个智能体然后再输入的输入的形式就是哦500条数据级然后
[00:14:14 - 00:14:18] 正确的实例的话我就把我正确实例输入给他
[00:14:18 - 00:14:25] 要输出的话让他去根据根据这种去评分多个数据级
[00:14:26 - 00:14:30] 然后给我一个给我一个正确的一个结果
[00:14:30 - 00:14:38] 嗯然后再去啊再去筛出不合理的一些数据级告诉我就用可能会用用
[00:14:38 - 00:14:41] 会自己写一个ai智能体这样子
[00:14:41 - 00:14:45] 其中是我去这么一个输入输出这么一个形式
[00:14:45 - 00:14:51] 那你这个纪念体打算怎么设计的
[00:14:52 - 00:14:59] 就是用体识词用用变成工具像扣碳用sql吧写一个sql
[00:14:59 - 00:15:01] 背景就是
[00:15:01 - 00:15:05] 描述的话就是他是一个
[00:15:05 - 00:15:11] 其实我如果我自己个人的话编写sql的话就是
[00:15:11 - 00:15:17] 先跑一两天跑两三条选两三条数据出来然后再有
[00:15:17 - 00:15:20] 结合我自己在最正确的那个答案
[00:15:21 - 00:15:25] 让他去先进行一个低轮的一个对话
[00:15:25 - 00:15:30] 然后低轮跑通之后再让cotex生成根据这个流程
[00:15:30 - 00:15:32] 生成一个对应的一个sql
[00:15:32 - 00:15:36] 然后再继续组练的这么一个去
[00:15:36 - 00:15:40] 呃测试这个sql然后再如果是有
[00:15:40 - 00:15:45] 可能是10条的话如果他还是不完善的话再继续去
[00:15:45 - 00:15:48] 完善他的一个sql提示词
[00:15:50 - 00:15:52] 然后再去组练的去地整
[00:15:52 - 00:15:55] 逐渐的去完成500个数据的这么一个工作量
[00:15:55 - 00:16:00] 嗯我的
[00:16:00 - 00:16:05] 有了解过
[00:16:05 - 00:16:08] 就是那种排鸡的
[00:16:08 - 00:16:15] 哦现在的话还是处于我个人想已经在开始去打剑我个人测试数据
[00:16:15 - 00:16:22] 就不得这么一个打剑然后目前了解到的情况就是像那种想本地部署一个小模型像
[00:16:22 - 00:16:29] 啊那个名字阿里的那个一个小模型去帮助我去切片啊做一个
[00:16:29 - 00:16:34] 只要了一个切片啊检索啊这么一个模型然后
[00:16:34 - 00:16:36] 嗯
